orf_id	contig_id	contig_set	target	orf_start	orf_end	orf_sense	orf_len	sseqid_be	slen_be	pident_be	length_be	rdrp_scan_vir_group	BestHit_phylum	BestHit_class	BestHit_order	BestHit_family	BestHit_genus	BestHit_species	BestHit_pident	suggested_vir_sp	vir_group	vir_sp_seq_ID_v2	phylo_virus_species	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus	ref_suggestions	followup_phylo_group
F1614_NODE_75_length_3253_cov_5695.314572_2	F1614_NODE_75_length_3253_cov_5695.314572	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3	3221	FORWARD	3218	AGW51766.2	1014	47.4	1094	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Ochlerotatus-associated narna-like virus 1	47.4	Cumentaid_virus	Narnaviridae	Cumentaid_virus_F1614C75F1468	Cumentaid_virus	F1614_NODE_75_length_3253_cov_5695.314572_F1614_MapVerif_F1468_detect_F1468_round2_F1468_round3_frame3_1	C75	F1614	F1468	phylogenetically related, not high enough RdRp similarity: ~47% aa (50% in a shorter alignment with a shorter and more distant ref sequence)	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19	(+)ssRNA	non-segmented	Lenarviricota	17	19	Mansonia		other_clades
F1614_NODE_75_length_3253_cov_5695.314572_2	F1614_NODE_75_length_3253_cov_5695.314572	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3	3221	FORWARD	3218	AGW51766.2	1014	47.4	1094	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Ochlerotatus-associated narna-like virus 1	47.4	Cumentaid_virus	Narnaviridae	Cumentaid_virus_F1614C75F1469	Cumentaid_virus	F1614_NODE_75_length_3253_cov_5695.314572_F1614_MapVerif_F1469_detect_F1469_round2_F1469_round3_frame3_1	C75	F1614	F1469	phylogenetically related, not high enough RdRp similarity: ~47% aa (50% in a shorter alignment with a shorter and more distant ref sequence)	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19	(+)ssRNA	non-segmented	Lenarviricota	17	19	Mansonia		other_clades
F1614_NODE_75_length_3253_cov_5695.314572_2	F1614_NODE_75_length_3253_cov_5695.314572	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3	3221	FORWARD	3218	AGW51766.2	1014	47.4	1094	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Ochlerotatus-associated narna-like virus 1	47.4	Cumentaid_virus	Narnaviridae	Cumentaid_virus_F1614C75F1470	Cumentaid_virus	F1614_NODE_75_length_3253_cov_5695.314572_F1614_MapVerif_F1470_detect_F1470_round2_F1470_round3_frame3_1	C75	F1614	F1470	phylogenetically related, not high enough RdRp similarity: ~47% aa (50% in a shorter alignment with a shorter and more distant ref sequence)	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19	(+)ssRNA	non-segmented	Lenarviricota	17	19	Mansonia		other_clades
F1614_NODE_75_length_3253_cov_5695.314572_2	F1614_NODE_75_length_3253_cov_5695.314572	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3	3221	FORWARD	3218	AGW51766.2	1014	47.4	1094	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Ochlerotatus-associated narna-like virus 1	47.4	Cumentaid_virus	Narnaviridae	Cumentaid_virus_F1614C75F1471	Cumentaid_virus	F1614_NODE_75_length_3253_cov_5695.314572_F1614_MapVerif_F1471_detect_F1471_round2_F1471_round3_frame3_1	C75	F1614	F1471	phylogenetically related, not high enough RdRp similarity: ~47% aa (50% in a shorter alignment with a shorter and more distant ref sequence)	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19	(+)ssRNA	non-segmented	Lenarviricota	17	19	Mansonia		other_clades
F1614_NODE_75_length_3253_cov_5695.314572_2	F1614_NODE_75_length_3253_cov_5695.314572	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3	3221	FORWARD	3218	AGW51766.2	1014	47.4	1094	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Ochlerotatus-associated narna-like virus 1	47.4	Cumentaid_virus	Narnaviridae	Cumentaid_virus_F1614C75F1614	Cumentaid_virus	F1614_NODE_75_length_3253_cov_5695.314572_F1614_MapVerif_F1614_detect_F1614_round2_F1614_round3_frame3_1	C75	F1614	F1614	phylogenetically related, not high enough RdRp similarity: ~47% aa (50% in a shorter alignment with a shorter and more distant ref sequence)	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19	(+)ssRNA	non-segmented	Lenarviricota	17	19	Mansonia		other_clades
F1614_NODE_75_length_3253_cov_5695.314572_2	F1614_NODE_75_length_3253_cov_5695.314572	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3	3221	FORWARD	3218	AGW51766.2	1014	47.4	1094	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Ochlerotatus-associated narna-like virus 1	47.4	Cumentaid_virus	Narnaviridae	Cumentaid_virus_F1614C75F1615	Cumentaid_virus	F1614_NODE_75_length_3253_cov_5695.314572_F1614_MapVerif_F1615_detect_F1615_round2_F1615_round3_frame3_1	C75	F1614	F1615	phylogenetically related, not high enough RdRp similarity: ~47% aa (50% in a shorter alignment with a shorter and more distant ref sequence)	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19	(+)ssRNA	non-segmented	Lenarviricota	17	19	Mansonia		other_clades
F1614_NODE_75_length_3253_cov_5695.314572_2	F1614_NODE_75_length_3253_cov_5695.314572	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3	3221	FORWARD	3218	AGW51766.2	1014	47.4	1094	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Ochlerotatus-associated narna-like virus 1	47.4	Cumentaid_virus	Narnaviridae	Cumentaid_virus_F1614C75F1633	Cumentaid_virus	F1614_NODE_75_length_3253_cov_5695.314572_F1614_MapVerif_F1633_detect_F1633_round2_F1633_round3_frame3_1	C75	F1614	F1633	phylogenetically related, not high enough RdRp similarity: ~47% aa (50% in a shorter alignment with a shorter and more distant ref sequence)	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20	(+)ssRNA	non-segmented	Lenarviricota	17	20	Mansonia		other_clades
F1086_NODE_860_length_1747_cov_313.222813_1	F1086_NODE_860_length_1747_cov_313.222813	G	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	84	1715	FORWARD	1631	QMI58128.1	537	99.6	537	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Verdadero virus	99.6	Verdadero_virus	Partitiviridae	Verdadero_virus_F1086C860F1062	Verdadero_virus	F1086_NODE_860_length_1747_cov_313.222813_F1086_MapVerif_F1062_detect_F1062_round2_F1062_round3_frame3_1	C860	F1086	F1062	phylogenetically related, high RdRp aa similarity ~99%	_	Verdadero_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	dsRNA	segmented	Pisuviricota	4	26	Aedes		other_clades
F1086_NODE_860_length_1747_cov_313.222813_1	F1086_NODE_860_length_1747_cov_313.222813	G	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	84	1715	FORWARD	1631	QMI58128.1	537	99.6	537	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Verdadero virus	99.6	Verdadero_virus	Partitiviridae	Verdadero_virus_F1086C860F1064	Verdadero_virus	F1086_NODE_860_length_1747_cov_313.222813_F1086_MapVerif_F1064_detect_F1064_round2_F1064_round3_frame3_1	C860	F1086	F1064	phylogenetically related, high RdRp aa similarity ~99%	_	Verdadero_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	dsRNA	segmented	Pisuviricota	4	26	Aedes		other_clades
F1086_NODE_860_length_1747_cov_313.222813_1	F1086_NODE_860_length_1747_cov_313.222813	G	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	84	1715	FORWARD	1631	QMI58128.1	537	99.6	537	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Verdadero virus	99.6	Verdadero_virus	Partitiviridae	Verdadero_virus_F1086C860F1065	Verdadero_virus	F1086_NODE_860_length_1747_cov_313.222813_F1086_MapVerif_F1065_detect_F1065_round2_F1065_round3_frame3_1	C860	F1086	F1065	phylogenetically related, high RdRp aa similarity ~99%	_	Verdadero_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	dsRNA	segmented	Pisuviricota	4	26	Aedes		other_clades
F1086_NODE_860_length_1747_cov_313.222813_1	F1086_NODE_860_length_1747_cov_313.222813	G	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	84	1715	FORWARD	1631	QMI58128.1	537	99.6	537	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Verdadero virus	99.6	Verdadero_virus	Partitiviridae	Verdadero_virus_F1086C860F1086	Verdadero_virus	F1086_NODE_860_length_1747_cov_313.222813_F1086_MapVerif_F1086_detect_F1086_round2_F1086_round3_frame3_1	C860	F1086	F1086	phylogenetically related, high RdRp aa similarity ~99%	_	Verdadero_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	dsRNA	segmented	Pisuviricota	4	26	Aedes		other_clades
F1086_NODE_860_length_1747_cov_313.222813_1	F1086_NODE_860_length_1747_cov_313.222813	G	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	84	1715	FORWARD	1631	QMI58128.1	537	99.6	537	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Verdadero virus	99.6	Verdadero_virus	Partitiviridae	Verdadero_virus_F1086C860F1506	Verdadero_virus	F1086_NODE_860_length_1747_cov_313.222813_F1086_MapVerif_F1506_detect_F1506_round2_F1506_round3_frame3_1	C860	F1086	F1506	phylogenetically related, high RdRp aa similarity ~99%	_	Verdadero_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	dsRNA	segmented	Pisuviricota	4	26	Aedes		other_clades
F1087_NODE_248_length_2122_cov_11578.753266_1	F1087_NODE_248_length_2122_cov_11578.753266	G	Lenarviricota.ALL_RdRp_Palmdb_0.4.fasta	2120	237	REVERSE	1883	YP_009337789.1	555	98.6	555	Lenarviricota	Lenarviricota	NA	NA	NA	NA	Hubei mosquito virus 3	98.6	Hubei_mosquito_virus_3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1422_NODE_183_length_1747_cov_7.848700_2	F1422_NODE_183_length_1747_cov_7.848700	N	Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta	1746	70	REVERSE	1676	BDF97667.1	443	82.2	443	Kitrinoviricota	Kitrinoviricota	NA	NA	NA	NA	Penicillium vanoranjei associated RNA virus 1	82.2	F1422_NODE_183_length_1747_cov_7.848700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1357_NODE_209_length_2151_cov_308.112595_1	F1357_NODE_209_length_2151_cov_308.112595	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	2126	192	REVERSE	1934	QKI79863.1	613	84.4	608	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Erysiphe necator associated ourmia-like virus 33	84.4	Erysiphe_necator_associated_ourmia_like_virus_33	Botourmiaviridae	Erysiphe_necator_associated_ourmia_like_virus_33_F1357C209F1357	Erysiphe_necator_associated_ourmia_like_virus_33	F1357_NODE_209_length_2151_cov_308.112595_F1357_round2_F1357_detect_F1357_round2_F1357_round3_frame2_1	C209	F1357	F1357	phylogenetically related, high RdRp aa similarity ~84%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(+)ssRNA	non-segmented	Lenarviricota	19	1	Anopheles		other_clades
F1357_NODE_209_length_2151_cov_308.112595_1	F1357_NODE_209_length_2151_cov_308.112595	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	2126	192	REVERSE	1934	QKI79863.1	613	84.4	608	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Erysiphe necator associated ourmia-like virus 33	84.4	Erysiphe_necator_associated_ourmia_like_virus_33	Botourmiaviridae	Erysiphe_necator_associated_ourmia_like_virus_33_F1357C209F1226	Erysiphe_necator_associated_ourmia_like_virus_33	F1357_NODE_209_length_2151_cov_308.112595_F1357_round2_F1226_detect_F1226_round2_F1226_round3_frame2_1	C209	F1357	F1226	phylogenetically related, high RdRp aa similarity ~84%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	(+)ssRNA	non-segmented	Lenarviricota	19	2	Coquillettidia		other_clades
F1367_NODE_745_length_1279_cov_3.495098_1	F1367_NODE_745_length_1279_cov_3.495098	N	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2	1279	FORWARD	1277	BCX55510.1	684	49.9	399	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Cryphonectria naterciae splipalmivirus 1	49.9	F1367_NODE_745_length_1279_cov_3.495098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1366_NODE_1917_length_1697_cov_3.967722_1	F1366_NODE_1917_length_1697_cov_3.967722	G	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	1697	3	REVERSE	1694	UBK24765.1	538	77.1	537	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Nigrospora sphaerica partitivirus 1	77.1	Catimbler_virus	Partitiviridae	Catimbler_virus_F1366C1917F1366	Catimbler_virus	F1366_NODE_1917_length_1697_cov_3.967722_F1366_MapVerif_F1366_detect_F1366_round2_F1366_round3_frame1_1	C1917	F1366	F1366	phylogenetically related, not high enough RdRp aa similarity ~77%	_	Anopheles_peditaeniatus_partiti_like_virus	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	dsRNA	segmented	Pisuviricota	4	1	Anopheles		other_clades
F1168_NODE_53_length_1796_cov_48.662837_1	F1168_NODE_53_length_1796_cov_48.662837	N	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	3	1745	FORWARD	1742	QRW41917.1	415	99.5	415	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	NA	NA	Netjeret virus	99.5	Netjeret_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1172_NODE_107_length_2728_cov_139.118593_1	F1172_NODE_107_length_2728_cov_139.118593	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2	2713	FORWARD	2711	QBA55490.1	717	67.1	697	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Aedes angustivittatus narnavirus	67.1	Aedes_angustivittatus_narnavirus	Narnaviridae	Aedes_angustivittatus_narnavirus _F1172C107F1172	Aedes_angustivittatus_narnavirus	F1172_NODE_107_length_2728_cov_139.118593_F1172_MapVerif_F1172_detect_F1172_round2_F1172_round3_frame2_1	C107	F1172	F1172	phylogenetically related, high RdRp similarity up to ~66% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Aedes caecus	correct	Aedes caecus	_	cluster24	(+)ssRNA	non-segmented	Lenarviricota	17	24	Aedes		other_clades
F1049_NODE_492_length_1921_cov_1353.998392_1	F1049_NODE_492_length_1921_cov_1353.998392	N	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2	1921	FORWARD	1919	QTW97839.1	919	94	618	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Narnaviridae sp.	94	Narnaviridae_sp_	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1484_NODE_54_length_2792_cov_4.601388_1	F1484_NODE_54_length_2792_cov_4.601388	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	248	2776	FORWARD	2528	QDB75005.1	843	85.1	846	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Penoulivirus	Epicoccum penoulivirus	85.1	Epicoccum_nigrum_ourmia_like_virus_2	Botourmiaviridae	Epicoccum_nigrum_ourmia_like_virus_2_F1484C54F1484	Epicoccum_nigrum_ourmia_like_virus_2	F1484_NODE_54_length_2792_cov_4.601388_F1484_round2_F1484_detect_F1484_round2_F1484_round3_frame2_1	C54	F1484	F1484	phylogenetically related, high RdRp aa similarity ~83%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Mansonia indiana	correct	Mansonia indiana	_	cluster18	(+)ssRNA	non-segmented	Lenarviricota	19	18	Mansonia		other_clades
F1600_NODE_34_length_2751_cov_898.589763_1	F1600_NODE_34_length_2751_cov_898.589763	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	111	2732	FORWARD	2621	APG77120.1	684	36.9	577	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Hubei narna-like virus 16	36.9	Dencephous_virus	Narnaviridae	Dencephous_virus_F1600C34F1600	Dencephous_virus	F1600_NODE_34_length_2751_cov_898.589763_F1600_MapVerif_F1600_detect_F1600_round2_F1600_round3_frame3_1	C34	F1600	F1600	phylogenetically related, not high enough RdRp similarity: ~30% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	(+)ssRNA	non-segmented	Lenarviricota	17	14	Culex		other_clades
F1473_NODE_973_length_1580_cov_3.504918_1	F1473_NODE_973_length_1580_cov_3.504918	N	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	3	1334	FORWARD	1331	QNN89182.1	621	74.1	444	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Pezizella ericae ourmia-like virus 1	74.1	F1473_NODE_973_length_1580_cov_3.504918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1456_NODE_4_length_1719_cov_696.986779_1	F1456_NODE_4_length_1719_cov_696.986779	N	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	2	1666	FORWARD	1664	BDB16244.1	539	86.8	538	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Aspergillus protuberus partitivirus 1	86.8	Aspergillus_protuberus_partitivirus_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1460_NODE_9_length_1992_cov_43.488384_2	F1460_NODE_9_length_1992_cov_43.488384	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	1992	1	REVERSE	1991	QIR30301.1	763	47.7	708	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Plasmopara viticola lesion associated narnavirus 22	47.7	Daticed_virus	Narnaviridae	Daticed_virus_F1460C9F1460	Daticed_virus	F1460_NODE_9_length_1992_cov_43.488384_F1460_MapVerif_F1460_detect_F1460_round2_F1460_round3_frame1_1	C9	F1460	F1460	phylogenetically related, not high enough RdRp similarity: ~47% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Culex vishnui.g	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	(+)ssRNA	non-segmented	Lenarviricota	17	11	Culex		other_clades
F1506_NODE_39_length_2155_cov_15.576190_1	F1506_NODE_39_length_2155_cov_15.576190	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2154	1	REVERSE	2153	YP_009388579.1	1068	84.7	717	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Wilkie narna-like virus 2	84.7	F1506_NODE_39_length_2155_cov_15.576190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1362_NODE_102_length_3099_cov_4.507556_1	F1362_NODE_102_length_3099_cov_4.507556	N	ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta	2	3097	FORWARD	3095	QKS69535.1	1134	74.8	1024	Martellivirales	Kitrinoviricota	Alsuviricetes	Martellivirales	Kitaviridae	Blunervirus	Erysiphe necator associated bluner-like virus 1	74.8	F1362_NODE_102_length_3099_cov_4.507556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1509_NODE_206_length_2353_cov_3.070496_1	F1509_NODE_206_length_2353_cov_3.070496	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2352	1	REVERSE	2351	QJT93754.1	1062	31.3	732	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Erysiphe necator associated narnavirus 22	31.3	Cumumbo_virus	Narnaviridae	Cumumbo_virus_F1509C206F1509	Cumumbo_virus	F1509_NODE_206_length_2353_cov_3.070496_F1509_MapVerif_F1509_detect_F1509_round2_F1509_round3_frame2_1	C206	F1509	F1509	phylogenetically related, not high enough RdRp similarity: ~27% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Lenarviricota	17	28	Aedes		other_clades
F1426_NODE_28_length_2861_cov_111.933001_2	F1426_NODE_28_length_2861_cov_111.933001	G	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	879	2741	FORWARD	1862	QDB74980.1	574	76.1	569	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	NA	NA	Penicillium miczynskii RNA virus 1	76.1	F1426_NODE_28_length_2861_cov_111.933001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1292_NODE_41_length_3306_cov_5.850815_1	F1292_NODE_41_length_3306_cov_5.850815	N	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3306	40	REVERSE	3266	USW07198.1	872	29.1	405	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Plasmopara viticola lesion-associated ormycovirus 6	29.1	F1292_NODE_41_length_3306_cov_5.850815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1628_NODE_34_length_1991_cov_6.607438_1	F1628_NODE_34_length_1991_cov_6.607438	G	Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	1932	1	REVERSE	1931	BCH36618.1	1114	74.3	572	Duplornaviricota	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Alphachrysovirus aspergilli	74.3	Confucts_virus	Chrysoviridae	Confucts_virus_F1628C34F1628	Confucts_virus	F1628_NODE_34_length_1991_cov_6.607438_F1628_MapVerif_F1628_detect_F1628_round2_F1628_round3_frame3_1	C34	F1628	F1628	phylogenetically related, not high enough RdRp similarity: ~56% aa	_	NA	Mansonia indiana	correct	Mansonia indiana	_	cluster18	dsRNA	segmented	Chrymotiviricetes	1	18	Mansonia		other_clades
