#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                      -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta     -            604 F1407_NODE_6568_length_772_cov_2.364017_1 -            218       9.4   -3.2  21.0   1   1       2.5        11   -3.4  20.9   481   564   102   185    23   211 0.50 -
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta -            856 F1408_NODE_12_length_5984_cov_33.959015_3 -            217      0.02    5.4  17.4   1   1   0.00041     0.028    5.0  17.4    11   114    72   175    63   199 0.48 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta -            959 F1408_NODE_200_length_3002_cov_7.397693_2 -            228       1.3   -0.2  25.3   1   1      0.02       1.3   -0.3  25.3   724   934     6   214     1   228 0.81 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.301.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.301.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/e5/30cfa844daf5ed63f110e5476199d7
# Date:            Thu Jul 21 16:23:29 2022
# [ok]
#                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                 accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                       -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta           -            856 F1196_NODE_2966_length_1209_cov_1.552860_1 -            402     0.025    5.1   7.6   1   1   0.00097     0.033    4.7   7.6    17   185   146   302   140   328 0.46 -
ALL_FINAL_RdRp_cores_0.3.clstr_652.Palmdb.0.4.fasta -            636 F1196_NODE_2966_length_1209_cov_1.552860_1 -            402     0.043    4.6  15.0   1   1    0.0017     0.056    4.3  15.0    18   150   145   277   138   319 0.76 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta       -           1394 F1196_NODE_3124_length_1179_cov_3.560498_1 -            392     0.019    5.4  14.5   1   1    0.0007     0.024    5.0  14.5   216   428   172   359    44   380 0.43 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta -           1028 F1196_NODE_3124_length_1179_cov_3.560498_1 -            392     0.042    4.5  12.9   1   1    0.0014     0.049    4.3  12.9   105   298   174   361    68   388 0.52 -
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta -            586 F1196_NODE_3217_length_1162_cov_7.872629_1 -            387      0.32    1.5  12.9   1   1    0.0061      0.42    1.2  12.9     8   139   161   299   149   376 0.61 -
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta -            856 F1196_NODE_3654_length_1099_cov_1.856322_1 -            311     0.011    6.3  12.1   1   1   0.00021     0.014    5.9  12.1    20   157    48   185    34   221 0.50 -
Lenarviricota.ALL_RdRp_Palmdb_0.4.fasta    -            665 F1196_NODE_4071_length_1042_cov_1.406282_1 -            347   1.9e-05   15.6   0.0   1   1   8.4e-07   2.9e-05   15.1   0.0   420   514   150   254   150   335 0.65 -
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta -            849 F1196_NODE_4071_length_1042_cov_1.406282_1 -            347   0.00062   10.3   0.0   1   1   2.6e-05   0.00089    9.8   0.0   505   564   150   211   132   220 0.92 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta -            998 F1196_NODE_4083_length_1040_cov_1.617259_1 -            346   1.5e-05   15.9   1.1   1   2     0.038       2.6   -1.4   0.1   645   668    34    50    11    96 0.57 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta -            998 F1196_NODE_4083_length_1040_cov_1.617259_1 -            346   1.5e-05   15.9   1.1   2   2   2.2e-07   1.5e-05   15.9   1.1   138   256   178   296   153   319 0.77 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta -           1028 F1196_NODE_4258_length_1017_cov_1.553015_1 -            338      0.87    0.2  28.0   1   1      0.03         1   -0.1  28.0   852  1002    14   164     1   196 0.31 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta         -            998 F1196_NODE_4258_length_1017_cov_1.553015_1 -            338       1.5   -0.6  19.0   1   1     0.055       1.9   -1.0  19.0   853   976    29   152     2   190 0.35 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.155.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.155.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/36/90fdc72b66bfac837aee0b5fb6598b
# Date:            Thu Jul 21 16:23:25 2022
# [ok]
#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                      -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta -            632 F1001_NODE_1134_length_2063_cov_3.529382_1 -            395   0.00023   11.8   0.1   1   1   3.9e-06   0.00027   11.6   0.1   421   524   133   224   111   380 0.65 -
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta          -            921 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   1.1e-94  310.7   2.8   1   1   4.3e-95   1.4e-94  310.4   2.8   265   685    70   441     6   480 0.83 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta               -            632 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   1.2e-58  191.1   2.1   1   1   4.6e-59   1.5e-58  190.8   2.1   148   470    56   390     8   456 0.79 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta        -           1394 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   3.7e-28   90.4   1.5   1   1   1.6e-28   5.3e-28   89.9   1.5   549   860   106   385    16   414 0.79 -
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta           -            849 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487     2e-25   81.4   0.1   1   1   6.6e-26   2.1e-25   81.3   0.1   312   539   149   375    14   415 0.83 -
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta         -           1216 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487     3e-23   74.4   0.2   1   1   1.1e-23   3.7e-23   74.1   0.2   469   758   136   421   111   479 0.78 -
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta            -            671 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   1.8e-22   71.8   0.7   1   1   8.4e-23   2.7e-22   71.2   0.7   240   489   169   430   151   475 0.80 -
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta  -           1028 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   1.2e-16   52.6   2.5   1   1   2.5e-16     8e-16   49.9   2.5   480   662   202   390    16   432 0.83 -
ALL_NCBI_Palmdb_RdRp.Stellavirales.0.4.fasta         -            942 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   1.5e-12   39.0   1.0   1   2      0.24      0.78    0.3   0.0   334   354   112   132   105   155 0.83 -
ALL_NCBI_Palmdb_RdRp.Stellavirales.0.4.fasta         -            942 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   1.5e-12   39.0   1.0   2   2   2.1e-12     7e-12   36.8   0.2   460   666   220   427   205   437 0.89 -
ALL_NCBI_Palmdb_RdRp.Patatavirales.0.4.fasta         -            925 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   9.6e-12   36.2   0.1   1   1     6e-12   1.9e-11   35.2   0.1   296   476   202   383   158   401 0.83 -
Lenarviricota.ALL_RdRp_Palmdb_0.4.fasta              -            665 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   4.9e-11   34.1   0.3   1   1   2.1e-11   6.8e-11   33.6   0.3   348   474   273   397   217   482 0.75 -
ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta         -           1097 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   2.1e-09   28.8   1.5   1   2    0.0032      0.01    6.6   0.0   383   424   104   139    30   172 0.79 -
ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta         -           1097 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   2.1e-09   28.8   1.5   2   2   1.1e-07   3.5e-07   21.4   0.4   539   686   229   392   212   441 0.84 -
ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta       -            716 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   4.3e-06   17.8   0.0   1   1     2e-06   6.4e-06   17.2   0.0   268   399   137   357    77   382 0.67 -
ALL_NCBI_Palmdb_RdRp.Nodamuvirales.0.4.fasta         -            831 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   1.7e-05   15.9   0.5   1   2      0.01     0.032    5.1   0.0   295   359   179   242   168   253 0.82 -
ALL_NCBI_Palmdb_RdRp.Nodamuvirales.0.4.fasta         -            831 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   1.7e-05   15.9   0.5   2   2   0.00067    0.0022    9.0   0.0   424   488   320   385   271   417 0.77 -
ALL_FINAL_RdRp_cores_0.3.clstr_1170.Palmdb.0.4.fasta -            480 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   1.9e-05   15.4   0.2   1   2      0.84       2.7   -1.6   0.0   220   241   232   253   215   256 0.75 -
ALL_FINAL_RdRp_cores_0.3.clstr_1170.Palmdb.0.4.fasta -            480 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   1.9e-05   15.4   0.2   2   2   2.5e-05   8.2e-05   13.3   0.1   281   341   302   348   292   368 0.73 -
ALL_FINAL_RdRp_cores_0.3.clstr_134.Palmdb.0.4.fasta  -            643 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   2.4e-05   15.4   1.4   1   2    0.0068     0.022    5.6   0.3   206   348   120   252    98   254 0.70 -
ALL_FINAL_RdRp_cores_0.3.clstr_134.Palmdb.0.4.fasta  -            643 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   2.4e-05   15.4   1.4   2   2    0.0032      0.01    6.7   0.0   512   558   385   431   374   441 0.90 -
ALL_FINAL_RdRp_cores_0.3.clstr_652.Palmdb.0.4.fasta  -            636 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   3.1e-05   15.0   0.0   1   1   1.7e-05   5.4e-05   14.2   0.0   308   338   217   247   213   250 0.85 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta  -            959 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   5.5e-05   14.2   0.8   1   2    0.0087     0.028    5.3   0.1   390   413   222   242   209   248 0.83 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta  -            959 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   5.5e-05   14.2   0.8   2   2    0.0018     0.006    7.5   0.1   516   611   335   422   290   442 0.84 -
ALL_FINAL_RdRp_cores_0.3.clstr_990.Palmdb.0.4.fasta  -            558 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487    0.0001   13.6   0.0   1   3   0.00013   0.00041   11.6   0.0    67   215   111   237   100   245 0.68 -
ALL_FINAL_RdRp_cores_0.3.clstr_990.Palmdb.0.4.fasta  -            558 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487    0.0001   13.6   0.0   2   3       1.4       4.7   -1.8   0.0   262   278   291   307   289   309 0.86 -
ALL_FINAL_RdRp_cores_0.3.clstr_990.Palmdb.0.4.fasta  -            558 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487    0.0001   13.6   0.0   3   3         7        23   -4.1   0.0   417   437   396   417   390   439 0.60 -
ALL_FINAL_RdRp_cores_0.3.clstr_1260.Palmdb.0.4.fasta -            460 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   0.00019   12.1   0.0   1   1    0.0001   0.00033   11.4   0.0   250   317   297   366   289   384 0.86 -
Permutotetraviridae.ALL_RdRp_Palmdb_0.4.fasta        -            552 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   0.00049   10.3   0.0   1   2     0.022     0.071    3.2   0.0   187   212   199   224   181   228 0.81 -
Permutotetraviridae.ALL_RdRp_Palmdb_0.4.fasta        -            552 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   0.00049   10.3   0.0   2   2    0.0058     0.019    5.1   0.0   244   331   229   319   221   339 0.81 -
ALL_FINAL_RdRp_cores_0.3.clstr_1087.Palmdb.0.4.fasta -            504 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   0.00095   10.4   0.9   1   2       4.6        15   -3.4   0.0   201   218   229   246   226   247 0.87 -
ALL_FINAL_RdRp_cores_0.3.clstr_1087.Palmdb.0.4.fasta -            504 F1001_NODE_2217_length_1552_cov_1570.360721_1 -            487   0.00095   10.4   0.9   2   2   0.00045    0.0015    9.8   0.2   295   335   334   377   322   397 0.81 -
ALL_NCBI_Palmdb_RdRp.Milneviricetes.0.4.fasta -            712 F1001_NODE_2656_length_1431_cov_2.279797_1 -            477   0.00034   11.3   0.0   1   1   7.9e-06   0.00054   10.6   0.0   408   473    82   152    63   156 0.81 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta -            959 F1001_NODE_5369_length_982_cov_5.417476_1 -            327     0.039    4.8  14.0   1   1   0.00091     0.062    4.1  14.0   789   932   142   281    93   299 0.45 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.1.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.1.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/5d/044ee5de5a3464a94766395bb4c7dd
# Date:            Thu Jul 21 16:23:18 2022
# [ok]
#                                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                 accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                       -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Negarnaviricota.ALL_RdRp_Palmdb_0.4.fasta -            765 F1430_NODE_10_length_7495_cov_6.255242_6 -            208   4.4e-05   14.1   0.4   1   1   7.8e-07   5.3e-05   13.9   0.4   521   587    42   116    39   171 0.61 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -            628 F1430_NODE_97_length_4689_cov_11.169832_3 -           1535       0.6    0.9  38.6   1   2     0.011      0.74    0.6  18.8    31   197   882  1050   843  1084 0.38 -
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -            628 F1430_NODE_97_length_4689_cov_11.169832_3 -           1535       0.6    0.9  38.6   2   2   0.00026     0.018    5.9  11.8    11   100  1206  1294  1191  1341 0.44 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.323.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.323.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/d0/5eade72ae008ebf84d43b91557ff19
# Date:            Thu Jul 21 16:23:29 2022
# [ok]
#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                               accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                     -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta -           1008 F1646_NODE_206_length_2592_cov_22.316516_5 -            367       7.2   -2.7  31.5   1   1      0.17        12   -3.4  31.5     2   135   207   340   196   351 0.50 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta -            959 F1646_NODE_272_length_2435_cov_7.349580_1 -            742         7   -2.7  17.4   1   2   0.00032     0.022    5.6   4.0   649   785    90   213    71   224 0.84 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta -            959 F1646_NODE_272_length_2435_cov_7.349580_1 -            742         7   -2.7  17.4   2   2     0.094       6.4   -2.5   5.5   786   884   585   679   474   703 0.56 -
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta -            856 F1646_NODE_426_length_2174_cov_4.586597_1 -            323   0.00034   11.3   2.2   1   2     0.017       1.1   -0.4   0.2   332   356   167   192   111   193 0.89 -
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta -            856 F1646_NODE_426_length_2174_cov_4.586597_1 -            323   0.00034   11.3   2.2   2   2   6.5e-06   0.00044   10.9   0.2   607   696   209   311   199   319 0.70 -
ALL_FINAL_RdRp_cores_0.3.clstr_134.Palmdb.0.4.fasta -            643 F1646_NODE_824_length_1798_cov_34.161216_2 -            370      0.83    0.4  24.3   1   2    0.0027      0.18    2.6  15.9    51   189    29   166    11   172 0.89 -
ALL_FINAL_RdRp_cores_0.3.clstr_134.Palmdb.0.4.fasta -            643 F1646_NODE_824_length_1798_cov_34.161216_2 -            370      0.83    0.4  24.3   2   2     0.002      0.14    3.0   1.2    96   163   204   271   181   287 0.86 -
ALL_NCBI_Palmdb_RdRp.Patatavirales.0.4.fasta -            925 F1646_NODE_1021_length_1687_cov_12.775735_3 -            561      0.52    0.7  18.3   1   1     0.011      0.75    0.2  18.3   690   897   290   499   240   539 0.78 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta -            998 F1646_NODE_1284_length_1562_cov_2.873258_2 -            327    0.0026    8.5   6.3   1   1   3.9e-05    0.0026    8.5   6.3   537   591    40   110     4   195 0.83 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta -            998 F1646_NODE_1436_length_1499_cov_3.110111_1 -            499       2.1   -1.1  13.7   1   2    0.0075      0.51    0.9   7.6   628   734    17    97     1   162 0.45 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta -            998 F1646_NODE_1436_length_1499_cov_3.110111_1 -            499       2.1   -1.1  13.7   2   2    0.0039      0.26    1.9   0.4   603   736   337   472   330   491 0.50 -
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta -           1394 F1646_NODE_1437_length_1497_cov_23.696949_1 -            498      0.08    3.3  30.5   1   1    0.0015      0.11    2.9  30.5    30   473    35   435    19   489 0.32 -
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta            -            978 F1646_NODE_1520_length_1461_cov_19.961593_1 -            410    0.0017    9.3  11.4   1   1   0.00022    0.0021    9.0  11.4   858   943   141   225     3   248 0.45 -
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta               -            856 F1646_NODE_1520_length_1461_cov_19.961593_1 -            410    0.0084    6.7  11.2   1   1    0.0012     0.012    6.2  11.2    29   834   138   228    64   246 0.41 -
ALL_NCBI_Palmdb_RdRp.Hepelivirales.0.4.fasta            -            860 F1646_NODE_1520_length_1461_cov_19.961593_1 -            410    0.0093    6.9  19.1   1   1    0.0014     0.014    6.3  19.1   662   827    88   247    74   279 0.64 -
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta     -            959 F1646_NODE_1520_length_1461_cov_19.961593_1 -            410     0.022    5.6  18.7   1   1    0.0029     0.028    5.3  18.7   651   857    89   276    79   340 0.56 -
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta           -           1008 F1646_NODE_1520_length_1461_cov_19.961593_1 -            410     0.039    4.8  14.4   1   1    0.0056     0.054    4.3  14.4   767   870   131   232    76   246 0.51 -
ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta -            914 F1646_NODE_1520_length_1461_cov_19.961593_1 -            410      0.14    2.8  17.3   1   1      0.02       0.2    2.3  17.3   749   880   108   226    74   248 0.32 -
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta         -            796 F1646_NODE_1520_length_1461_cov_19.961593_1 -            410      0.27    1.6  18.1   1   1     0.042      0.41    1.0  18.1   678   776   135   233   100   246 0.49 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.520.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.520.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/3e/3d78be0aa4f2532f1d53923232ca05
# Date:            Thu Jul 21 16:23:26 2022
# [ok]
#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                      -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta -            628 F1471_NODE_6795_length_780_cov_1.311724_1 -            219    0.0014    9.6  25.5   1   1   4.8e-05    0.0016    9.4  25.5    16   157    18   174     4   215 0.47 -
ALL_NCBI_Palmdb_RdRp.Stellavirales.0.4.fasta        -            942 F1471_NODE_6795_length_780_cov_1.311724_1 -            219     0.056    4.0  17.3   1   1    0.0022     0.074    3.6  17.3   748   811    25    84    12   115 0.57 -
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta           -            856 F1471_NODE_6961_length_764_cov_3.076164_2 -            254    0.0023    8.6  14.1   1   1   0.00034    0.0029    8.2  14.1    30   173    67   203    41   224 0.54 -
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta        -            978 F1471_NODE_6961_length_764_cov_3.076164_2 -            254    0.0037    8.2  15.9   1   1    0.0004    0.0034    8.3  15.9   808   951   129   200     1   252 0.41 -
ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta     -            796 F1471_NODE_6961_length_764_cov_3.076164_2 -            254    0.0048    7.4  15.6   1   1   0.00073    0.0062    7.1  15.6    37   112   127   201    85   230 0.38 -
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta -            604 F1471_NODE_6961_length_764_cov_3.076164_2 -            254     0.012    6.4  16.5   1   1    0.0018     0.015    6.1  16.5   496   594    99   197    63   213 0.50 -
ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta      -            771 F1471_NODE_6961_length_764_cov_3.076164_2 -            254     0.019    5.2  16.3   1   1    0.0028     0.024    4.9  16.3   680   749   126   195    73   214 0.43 -
ALL_FINAL_RdRp_cores_0.3.clstr_295.Palmdb.0.4.fasta -            709 F1471_NODE_6961_length_764_cov_3.076164_2 -            254     0.035    4.9  18.2   1   1    0.0051     0.044    4.6  18.2   599   674   122   197    79   225 0.31 -
ALL_NCBI_Palmdb_RdRp.Yunchangviricetes.0.4.fasta    -            738 F1471_NODE_6961_length_764_cov_3.076164_2 -            254     0.049    4.3   9.0   1   1    0.0069     0.059    4.0   9.0     7    75   129   197    86   224 0.42 -
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta         -            998 F1471_NODE_6961_length_764_cov_3.076164_2 -            254     0.064    3.9  23.1   1   1    0.0082      0.07    3.8  23.1   753   933    69   217     1   253 0.37 -
ALL_FINAL_RdRp_cores_0.3.clstr_955.Palmdb.0.4.fasta -            529 F1471_NODE_7831_length_697_cov_1.459502_1 -            227   0.00046   10.9   0.1   1   1   8.8e-06    0.0006   10.5   0.1   323   353   128   160   111   168 0.71 -
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta -           1008 F1472_NODE_1_length_7201_cov_146.442065_1 -           2355   1.8e-76  250.8  21.3   1   2      0.26       8.8   -3.0   3.6   685   744   387   450   347   596 0.50 -
ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta -           1008 F1472_NODE_1_length_7201_cov_146.442065_1 -           2355   1.8e-76  250.8  21.3   2   2   5.2e-78   1.8e-76  250.8  21.3    53   678   729  1317   702  1466 0.71 -
Negarnaviricota.ALL_RdRp_Palmdb_0.4.fasta     -            765 F1472_NODE_1_length_7201_cov_146.442065_1 -           2355   2.8e-51  166.9  12.5   1   1   1.9e-52   6.4e-51  165.7  12.5   194   578   919  1311   704  1364 0.83 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.349.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.349.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/5e/3343f9703aed9864364430b44ca44c
# Date:            Thu Jul 21 16:23:27 2022
# [ok]
