vir_group	vir_sp_seq_ID_v2	phylo_virus_species	contig_ID	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus
Totiviridae	Andiett_virus_F1132C2F1132	Andiett_virus	F1132_NODE_2_length_3968_cov_71.654741	F1132_NODE_2_length_3968_cov_71.654741_F1132_MapVerif_F1132_detect_F1132_round2_F1132_round3_frame2_2	C2	F1132	F1132	proposed novel species, phylogenetically related to other other insect totiviruses, ~73% RdRp aa similarity to closest relative species	_	Culex_associated_totivirus_2	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	dsRNA	segmented	Chrymotiviricetes	2	9	Culex
Totiviridae	Culex_vishnui_subgroup_totivirus_F1143C11F1143	Culex_vishnui_subgroup_totivirus	F1143_NODE_11_length_7548_cov_9.055652	F1143_NODE_11_length_7548_cov_9.055652_F1143_MapVerif_F1143_detect_F1143_round2_F1143_round3_frame1_2	C11	F1143	F1143	phylogenetically related, high RdRp aa similarity	_	Culex_vishnui_subgroup_totivirus	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	dsRNA	segmented	Chrymotiviricetes	2	9	Culex
Partitiviridae	Bullivilm_virus_F1252C24F1252	Bullivilm_virus	F1252_NODE_24_length_1618_cov_11.545106	F1252_NODE_24_length_1618_cov_11.545106_F1252_MapVerif_F1252_detect_F1252_round2_F1252_round3_frame5_1	C24	F1252	F1252	phylogenetically related, not high enough RdRp aa similarity ~75%	_	Tuol_Kruos_Culex_partiti_like_virus	Culex cinctellus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	dsRNA	segmented	Pisuviricota	4	9	Culex
Iflaviridae	Doriptiled_virus_F1453C1F1453	Doriptiled_virus	F1453_NODE_1_length_9739_cov_1041.856671	F1453_NODE_1_length_9739_cov_1041.856671_F1453_MapVerif_F1453_detect_F1453_round2_F1453_round3_frame3_1	C1	F1453	F1453	phylogenetically related, not high enough structural part similarity: ~83% aa (84% full polyprotein) with Isahaya_Culex_iflavirus	https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/iflaviridae . >=90% aa identity of capsid proteins to consider as one species.	NA	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9	(+)ssRNA	non-segmented	Pisuviricota	6	9	Culex
Flaviviridae	Quang_Binh_virus_F1449C1F1449	Quang_Binh_virus	F1449_NODE_1_length_10804_cov_62.814960	F1449_NODE_1_length_10804_cov_62.814960_F1449_MapVerif_F1449_detect_F1449_r2_frame2	C1	F1449	F1449	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Quang_Binh_virus	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Kitrinoviricota	14	9	Culex
Flaviviridae	Quang_Binh_virus_F1449C1F1466	Quang_Binh_virus	F1449_NODE_1_length_10804_cov_62.814960	F1449_NODE_1_length_10804_cov_62.814960_F1449_MapVerif_F1466_detect_F1466_r2_frame2	C1	F1449	F1466	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Quang_Binh_virus	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Kitrinoviricota	14	9	Culex
Narnaviridae	Bremia_lactucae_associated_narnavirus_3 _F1156C167F1156	Bremia_lactucae_associated_narnavirus_3	F1156_NODE_167_length_1580_cov_7.393443	F1156_NODE_167_length_1580_cov_7.393443_F1156_MapVerif_F1156_detect_F1156_round2_F1156_round3_frame3_1	C167	F1156	F1156	phylogenetically related, high RdRp similarity up to ~95% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. ). I used this virus name even though it's notthe closest phylogenetically, because it was the first one submitted to Genbank and all 4 viruses in the clade are >90% aa identical for RdRp anyway, so they should be considered as a single species.	NA	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Lenarviricota	17	9	Culex
Narnaviridae	Decritial_virus_F1132C20F1132	Decritial_virus	F1132_NODE_20_length_1630_cov_351.145397	F1132_NODE_20_length_1630_cov_351.145397_F1132_MapVerif_F1132_detect_F1132_round2_F1132_round3_frame1_1	C20	F1132	F1132	phylogenetically related, not high enough RdRp similarity: ~37% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Lenarviricota	17	9	Culex
Narnaviridae	Drosophila_associated_narnavirus_2_F1132C7F1132	Drosophila_associated_narnavirus_2	F1132_NODE_7_length_2830_cov_221.665225	F1132_NODE_7_length_2830_cov_221.665225_F1132_MapVerif_F1132_detect_F1132_round2_F1132_round3_frame1_1	C7	F1132	F1132	phylogenetically related, high RdRp similarity up to ~60% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Lenarviricota	17	9	Culex
Narnaviridae	Serbia_narna_like_virus_2_F1132C4F1132	Serbia_narna_like_virus_2	F1132_NODE_4_length_3029_cov_94.587088	F1132_NODE_4_length_3029_cov_94.587088_F1132_MapVerif_F1132_detect_F1132_round2_F1132_round3_frame2_1	C4	F1132	F1132	phylogenetically related, high RdRp similarity up to ~74% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. ). The other virus in the clade, which is approximately 53% aa similar in a shorter alignment was submitted couple of months earlier, but dues to such difference if relatedness, I will use the name of a later submitted virus yet much closer to the novel genome.	NA	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Lenarviricota	17	9	Culex
Botourmiaviridae	Bremia_lactucae_associated_ourmia_like_virus_1_F1588C16F1588	Bremia_lactucae_associated_ourmia_like_virus_1	F1588_NODE_16_length_2162_cov_36.273849	F1588_NODE_16_length_2162_cov_36.273849_F1588_round2_F1588_detect_F1588_round2_F1588_round3_frame3_1	C16	F1588	F1588	phylogenetically related, high RdRp aa similarity ~90-93%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae, Bremia_lactucae_associated_ourmia_like_virus_1 was submitted earlier	NA	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Lenarviricota	19	9	Culex
Botourmiaviridae	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90_F1156C25F1156	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90	F1156_NODE_25_length_2967_cov_121.096841	F1156_NODE_25_length_2967_cov_121.096841_F1156_round2_F1156_detect_F1156_round2_F1156_round3_frame2_1	C25	F1156	F1156	phylogenetically related, high RdRp aa similarity ~88%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Lenarviricota	19	9	Culex
Rhabdoviridae	Begrized_virus_F1588C1F1462	Begrized_virus	F1588_NODE_1_length_11833_cov_1389.869587	F1588_NODE_1_length_11833_cov_1389.869587_F1462_detect_F1462_round2_F1462_round3_frame2_1	C1	F1588	F1462	phylogenetically forming a separate group, not high enough RdRp aa similarity to the sister clade ~69%	both samples are coming from one mosquito clade, mixed Culex mosqt likely vishnui group. F1462 was collected earlier, so I use its location for the name.	Kdei_Doung_Culex_rhabdovirus	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(-)ssRNA	non-segmented	Monjiviricetes	21	9	Culex
Rhabdoviridae	Begrized_virus_F1588C1F1588	Begrized_virus	F1588_NODE_1_length_11833_cov_1389.869587	F1588_NODE_1_length_11833_cov_1389.869587_F1588_detect_F1588_round2_F1588_round3_frame2_1	C1	F1588	F1588	phylogenetically forming a separate group, not high enough RdRp aa similarity to the sister clade ~69%	both samples are coming from one mosquito clade, mixed Culex mosqt likely vishnui group. F1462 was collected earlier, so I use its location for the name.	Kdei_Doung_Culex_rhabdovirus	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(-)ssRNA	non-segmented	Monjiviricetes	21	9	Culex
Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1156	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_F1156_1xcov_F1156_1xCovRound2_ORF_corrected_frame2	C31	F1339	F1156	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(-)ssRNA	segmented	Bunyavirales	25	9	Culex
Partitiviridae	Penicillium_stoloniferum_virus_S_F1414C269F1414	Penicillium_stoloniferum_virus_S	F1414_NODE_269_length_1737_cov_116.394768	F1414_NODE_269_length_1737_cov_116.394768_F1414_MapVerif_F1414_detect_F1414_round2_F1414_round3_frame3_1	C269	F1414	F1414	phylogenetically related, high RdRp aa similarity ~93%	_	Penicillium_stoloniferum_virus_S	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10	dsRNA	segmented	Pisuviricota	4	10	Culex
Orthomyxoviridae	Borammite_virus_F1413C95F1413	Borammite_virus	F1413_NODE_95_length_2506_cov_850.644635	F1413_NODE_95_length_2506_cov_850.644635_F1413_MapVerif_F1413_detect_F1413_round2_F1413_round3_frame1_1	C95	F1413	F1413	phylogenetically related, not high RdRp aa similarity ~80%	_	Culex_bitaeniorhynchus_quaranjavirus	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10	(-)ssRNA	segmented	Orthomyxoviridae	26	10	Culex
Chrysoviridae	Counshes_virus_F1497C40F1497	Counshes_virus	F1497_NODE_40_length_3440_cov_12.563959	F1497_NODE_40_length_3440_cov_12.563959_F1497_MapVerif_F1497_detect_F1497_round2_F1497_round3_frame3_1	C40	F1497	F1497	phylogenetically related, not high enough RdRp similarity: ~53% aa	_	NA	Mansonia uniformis	misannotated, mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	dsRNA	segmented	Chrymotiviricetes	1	11	Culex
Totiviridae	Agrichlet_virus_F1434C1F1407	Agrichlet_virus	F1434_NODE_1_length_7484_cov_199.621349	F1434_NODE_1_length_7484_cov_199.621349_F1434_MapVerif_F1407_detect_F1407_round2_F1407_round3_frame3_2	C1	F1434	F1407	proposed novel species, phylogenetically related to other other Culex totiviruses, ~82% RdRp aa similarity to closest relative species	_	Culex_vishnui_subgroup_totivirus_2	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	dsRNA	segmented	Chrymotiviricetes	2	11	Culex
Totiviridae	Agrichlet_virus_F1434C1F1434	Agrichlet_virus	F1434_NODE_1_length_7484_cov_199.621349	F1434_NODE_1_length_7484_cov_199.621349_F1434_MapVerif_F1434_detect_F1434_round2_F1434_round3_frame3_2	C1	F1434	F1434	proposed novel species, phylogenetically related to other other Culex totiviruses, ~82% RdRp aa similarity to closest relative species	_	Culex_vishnui_subgroup_totivirus_2	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	dsRNA	segmented	Chrymotiviricetes	2	11	Culex
Totiviridae	Agrichlet_virus_F1434C1F1445	Agrichlet_virus	F1434_NODE_1_length_7484_cov_199.621349	F1434_NODE_1_length_7484_cov_199.621349_F1434_MapVerif_F1445_detect_F1445_round2_F1445_round3_frame3_2	C1	F1434	F1445	proposed novel species, phylogenetically related to other other Culex totiviruses, ~82% RdRp aa similarity to closest relative species	_	Culex_vishnui_subgroup_totivirus_2	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	dsRNA	segmented	Chrymotiviricetes	2	11	Culex
Totiviridae	Agrichlet_virus_F1434C1F1456	Agrichlet_virus	F1434_NODE_1_length_7484_cov_199.621349	F1434_NODE_1_length_7484_cov_199.621349_F1434_MapVerif_F1456_detect_F1456_round2_F1456_round3_frame3_2	C1	F1434	F1456	proposed novel species, phylogenetically related to other other Culex totiviruses, ~82% RdRp aa similarity to closest relative species	_	Culex_vishnui_subgroup_totivirus_2	Culex vishnui.g	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	dsRNA	segmented	Chrymotiviricetes	2	11	Culex
Partitiviridae	Penicillium_stoloniferum_virus_S_F1414C269F1456	Penicillium_stoloniferum_virus_S	F1414_NODE_269_length_1737_cov_116.394768	F1414_NODE_269_length_1737_cov_116.394768_F1414_MapVerif_F1456_detect_F1456_round2_F1456_round3_frame3_1	C269	F1414	F1456	phylogenetically related, high RdRp aa similarity ~93%	_	Penicillium_stoloniferum_virus_S	Culex vishnui.g	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	dsRNA	segmented	Pisuviricota	4	11	Culex
Flaviviridae	Quang_Binh_virus_F1407C2F1407	Quang_Binh_virus	F1407_NODE_2_length_10831_cov_220.119803	F1407_NODE_2_length_10831_cov_220.119803_F1407_MapVerif_F1407_detect_F1407_r2_frame2	C2	F1407	F1407	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Quang_Binh_virus	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	(+)ssRNA	non-segmented	Kitrinoviricota	14	11	Culex
Tombusviridae	Getately_virus_F1497C21F1497	Getately_virus	F1497_NODE_21_length_4260_cov_380.850178	F1497_NODE_21_length_4260_cov_380.850178_F1497_MapVerif_F1497_detect_F1497_round2_F1497_round3_frame3_1	C21	F1497	F1497	phylogenetically related, not high enough RdRp similarity: ~59% aa to QXN75445	Less than 85% sequence identity in the CP (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/277/tombusviridae). Needs to be verified on CP dataset.	NA	Mansonia uniformis	misannotated, mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	(+)ssRNA	non-segmented	Kitrinoviricota	15	11	Culex
Narnaviridae	Daticed_virus_F1460C9F1460	Daticed_virus	F1460_NODE_9_length_1992_cov_43.488384	F1460_NODE_9_length_1992_cov_43.488384_F1460_MapVerif_F1460_detect_F1460_round2_F1460_round3_frame1_1	C9	F1460	F1460	phylogenetically related, not high enough RdRp similarity: ~47% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Culex vishnui.g	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	(+)ssRNA	non-segmented	Lenarviricota	17	11	Culex
Botourmiaviridae	Erysiphe_necator_associated_ourmia_like_virus_14_F1584C52F1584	Erysiphe_necator_associated_ourmia_like_virus_14	F1584_NODE_52_length_2510_cov_11.737271	F1584_NODE_52_length_2510_cov_11.737271_F1584_round2_F1584_detect_F1584_round2_F1584_round3_frame2_1	C52	F1584	F1584	phylogenetically related, high RdRp aa similarity ~73-74%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	(+)ssRNA	non-segmented	Lenarviricota	19	11	Culex
Totiviridae	Aeriandims_virus_F1583C1F1583	Aeriandims_virus	F1583_NODE_1_length_7023_cov_400.040758	F1583_NODE_1_length_7023_cov_400.040758_F1583_MapVerif_F1583_detect_F1583_round2_F1583_round3_frame3_1	C1	F1583	F1583	proposed novel species, phylogenetically related to other other mosquito totiviruses, ~75% RdRp aa similarity to closest relative species	_	Cambodian_Culex_toti_like_virus	Culex sinensis	internally divergent	Culex sinensis	_	cluster12	dsRNA	segmented	Chrymotiviricetes	2	12	Culex
Iflaviridae	Dunhowed_virus_F1611C1F1586	Dunhowed_virus	F1611_NODE_1_length_8792_cov_16.197093	F1611_NODE_1_length_8792_cov_16.197093_F1611_MapVerif_F1586_detect_F1586_round2_F1586_round3_frame3_1	C1	F1611	F1586	phylogenetically related, not high enough structural part similarity: ~30-32% aa (28-30% full polyprotein) with Perina nuda virus or Diamondback moth iflavirus or Spodoptera_exigua_iflavirus_2_AHX00961.1	https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/iflaviridae . >=90% aa identity of capsid proteins to consider as one species.	NA	Culex sinensis	internally divergent	Culex sinensis	_	cluster12	(+)ssRNA	non-segmented	Pisuviricota	6	12	Culex
Narnaviridae	Zhejiang_mosquito_virus_3_F1586C7F1586	Zhejiang_mosquito_virus_3	F1586_NODE_7_length_3277_cov_3101.561142	F1586_NODE_7_length_3277_cov_3101.561142_F1586_MapVerif_F1586_detect_F1586_round2_F1586_round3_frame3_1	C7	F1586	F1586	phylogenetically related, high RdRp similarity up to ~84% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. ). Narnaviridae_environmental_sample is the oldest sequence in the clade. However, because the name is confusing and it's not the closest to the novel genome, I will go for the second oldest sequence and coincidentally the closest to our novel sequence Zhejiang mosquito virus 3.	NA	Culex sinensis	internally divergent	Culex sinensis	_	cluster12	(+)ssRNA	non-segmented	Lenarviricota	17	12	Culex
Partitiviridae	Plasmopara_viticola_lesion_associated_Partiti_like_2_F1260C257F1260	Plasmopara_viticola_lesion_associated_Partiti_like_2	F1260_NODE_257_length_1441_cov_2.484127	F1260_NODE_257_length_1441_cov_2.484127_F1260_MapVerif_F1260_detect_F1260_round2_F1260_round3_frame2_1	C257	F1260	F1260	phylogenetically related, high RdRp aa similarity ~88%	_	Plasmopara_viticola_lesion_associated_Partiti_like_2	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	dsRNA	segmented	Pisuviricota	4	13	Culex
Botourmiaviridae	Coddhild_virus_F1260C31F1260	Coddhild_virus	F1260_NODE_31_length_2456_cov_5.143274	F1260_NODE_31_length_2456_cov_5.143274_F1260_round2_F1260_detect_F1260_round2_F1260_round3_frame2_1	C31	F1260	F1260	phylogenetically related, not high enough RdRp aa similarity ~64%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	(+)ssRNA	non-segmented	Lenarviricota	19	13	Culex
Botourmiaviridae	Codisteave_virus_F1585C2F1585	Codisteave_virus	F1585_NODE_2_length_2559_cov_71.784345	F1585_NODE_2_length_2559_cov_71.784345_F1585_round2_F1585_detect_F1585_round2_F1585_round3_frame2_1	C2	F1585	F1585	phylogenetically related, not high enough RdRp aa similarity ~43%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	(+)ssRNA	non-segmented	Lenarviricota	19	13	Culex
Rhabdoviridae	Antlested_virus_F1034C1F1034	Antlested_virus	F1034_NODE_1_length_13892_cov_121.603310	F1034_NODE_1_length_13892_cov_121.603310_F1034_detect_F1034_round2_F1034_round3_frame3_1	C1	F1034	F1034	phylogenetically related, not high enough RdRp aa similarity ~68%	Selsork is the village in Cambodia, where this Culex mosquito was collected	Seksork_Culex_rhabdovirus	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	(-)ssRNA	non-segmented	Monjiviricetes	21	13	Culex
Phasmaviridae	Cloizable_virus_F1036C2F1036	Cloizable_virus	F1036_NODE_2_length_6945_cov_19.074020	F1036_NODE_2_length_6945_cov_19.074020_F1036_MapVerif_F1036_detect_F1036_round2_F1036_round3_frame3_1	C2	F1036	F1036	phylogenetically related, not high enough RdRp aa similarity ~43%	most similar to Jonchet_virus also from mosquitoes	Seksork_Culex_phasmavirus_2	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	(-)ssRNA	segmented	Bunyavirales	24	13	Culex
Permutotetraviridae	Culex_permutotetra_like_virus_F1052C13C663F1052	Culex_permutotetra_like_virus	F1052_NODE_13_663_chimera	F1052_NODE_13_663_chimera_F1052_MapVerif_F1052_detect_F1052_round2_F1052_round3_frame1_1	C13C663	F1052	F1052	phylogenetically related, high RdRp similarity: ~87% aa to BBO25553	species demarcation criteria not found, perhaps further literature seqrch needed	NA	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	(+)ssRNA	non-segmented	Pisuviricota-like	5	14	Culex
Negevirus	Gracties_virus_F1049C1F1049	Gracties_virus	F1049_NODE_1_length_14446_cov_22.084775	F1049_NODE_1_length_14446_cov_22.084775_F1049_MapVerif_F1049_detect_F1049_round2_F1049_round3_frame1_1	C1	F1049	F1049	phylogenetically related, not high enough polyprotein (with RdRp) similarity: ~79% aa to QGA70941.1	species demarcation criteria not found, perhaps further literature seqrch needed	NA	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	(+)ssRNA	non-segmented	Virga-like	13	14	Culex
Negevirus	Gracties_virus_F1049C1F1608	Gracties_virus	F1049_NODE_1_length_14446_cov_22.084775	F1049_NODE_1_length_14446_cov_22.084775_F1049_MapVerif_F1608_detect_F1608_round2_F1608_round3_frame1_1	C1	F1049	F1608	phylogenetically related, not high enough polyprotein (with RdRp) similarity: ~79% aa to QGA70941.1	species demarcation criteria not found, perhaps further literature seqrch needed	NA	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	(+)ssRNA	non-segmented	Virga-like	13	14	Culex
Narnaviridae	Dencephous_virus_F1600C34F1600	Dencephous_virus	F1600_NODE_34_length_2751_cov_898.589763	F1600_NODE_34_length_2751_cov_898.589763_F1600_MapVerif_F1600_detect_F1600_round2_F1600_round3_frame3_1	C34	F1600	F1600	phylogenetically related, not high enough RdRp similarity: ~30% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	(+)ssRNA	non-segmented	Lenarviricota	17	14	Culex
Narnaviridae	Hubei_narna_like_virus_17_F1120C57F1049	Hubei_narna_like_virus_17	F1120_NODE_57_length_2277_cov_3.948245	F1120_NODE_57_length_2277_cov_3.948245_F1120_MapVerif_F1049_detect_F1049_round2_F1049_round3_frame1_1	C57	F1120	F1049	phylogenetically related, high RdRp similarity up to ~74-75% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	(+)ssRNA	non-segmented	Lenarviricota	17	14	Culex
Chuviridae	Imjin_River_virus_1_F1051C1F1051	Imjin_River_virus_1	F1051_NODE_1_length_12044_cov_1008.365835	F1051_NODE_1_length_12044_cov_1008.365835_F1051_MapVerif_F1051_detect_F1051_round2_F1051_round3_frame2_1	C1	F1051	F1051	phylogenetically related, high RdRp aa similarity ~97%	_	Imjin_River_virus_1	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	(-)ssRNA	non-segmented	Monjiviricetes	20	14	Culex
Phasmaviridae	Cavaretrus_virus_F1611C2F1049	Cavaretrus_virus	F1611_NODE_2_length_7571_cov_651.122672	F1611_NODE_2_length_7571_cov_651.122672_F1611_MapVerif_F1049_detect_F1049_round2_F1049_round3_frame2_1	C2	F1611	F1049	phylogenetically related, not high enough RdRp aa similarity ~35%	closest to MAG: RNA-dependent RNA polymerase [Sanya sesamia inferens phasmavirus 1] coming from a moth. Novel sequences are coming from Culex with unclear species, so will use the location of the first collection.	Seksork_Culex_phasmavirus_1	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	(-)ssRNA	segmented	Bunyavirales	24	14	Culex
Phasmaviridae	Cavaretrus_virus_F1611C2F1608	Cavaretrus_virus	F1611_NODE_2_length_7571_cov_651.122672	F1611_NODE_2_length_7571_cov_651.122672_F1611_MapVerif_F1608_detect_F1608_round2_F1608_round3_frame2_1	C2	F1611	F1608	phylogenetically related, not high enough RdRp aa similarity ~35%	closest to MAG: RNA-dependent RNA polymerase [Sanya sesamia inferens phasmavirus 1] coming from a moth. Novel sequences are coming from Culex with unclear species, so will use the location of the first collection.	Seksork_Culex_phasmavirus_1	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	(-)ssRNA	segmented	Bunyavirales	24	14	Culex
