orf_id	contig_id	contig_set	target	orf_start	orf_end	orf_sense	orf_len	sseqid_be	slen_be	pident_be	length_be	rdrp_scan_vir_group	BestHit_phylum	BestHit_class	BestHit_order	BestHit_family	BestHit_genus	BestHit_species	BestHit_pident	suggested_vir_sp	vir_group	vir_sp_seq_ID_v2	phylo_virus_species	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus
F1058_NODE_389_length_2500_cov_57.082209_1	F1058_NODE_389_length_2500_cov_57.082209	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2498	87	REVERSE	2411	QRW42591.1	786	99.5	786	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Guadeloupe mosquito quaranja-like virus 1	99.5	Guadeloupe_mosquito_quaranja_like_virus_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1011_NODE_1_length_12910_cov_159.228082_5	F1011_NODE_1_length_12910_cov_159.228082	G	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	6393	12650	FORWARD	6257	DAZ85658.1	2081	64.8	2065	Monjiviricetes	Negarnaviricota	Monjiviricetes	Mononegavirales	NA	NA	San Gabriel mononegavirus	64.8	F1011_NODE_1_length_12910_cov_159.228082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1011_NODE_2_length_5406_cov_31.927864_1	F1011_NODE_2_length_5406_cov_31.927864	N	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	5399	3	REVERSE	5396	API61884.1	2547	54.8	1821	Ellioviricetes	Negarnaviricota	Ellioviricetes	NA	NA	NA	Salarivirus Mos8CM0	54.8	F1011_NODE_2_length_5406_cov_31.927864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1424_NODE_40_length_1858_cov_2432.250139_1	F1424_NODE_40_length_1858_cov_2432.250139	N	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	1	1746	FORWARD	1745	BBQ05104.1	564	99.5	564	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	NA	NA	Hubei partiti-like virus 22	99.5	Hubei_partiti_like_virus_22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1425_NODE_145_length_1791_cov_19.676843_1	F1425_NODE_145_length_1791_cov_19.676843	N	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	1790	3	REVERSE	1787	UJQ92001.1	623	56.8	565	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	NA	Botourmiaviridae sp.	56.8	F1425_NODE_145_length_1791_cov_19.676843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	G	ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	3485	171	REVERSE	3314	QLJ83492.1	759	76.3	750	Ghabrivirales	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Fitzroy Crossing toti-like virus 2	76.3	Aeriandims_virus_subsp1	Totiviridae	Aeriandims_virus_F1156C2F1045	Aeriandims_virus	F1156_NODE_2_length_7200_cov_572.252624_F1156_MapVerif_F1045_detect_F1045_round2_F1045_round3_frame2_1	C2	F1156	F1045	proposed novel species, phylogenetically related to other other mosquito totiviruses, ~75% RdRp aa similarity to closest relative species	_	Cambodian_Culex_toti_like_virus	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	dsRNA	segmented	Chrymotiviricetes	2	9	Culex
F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	G	ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	3485	171	REVERSE	3314	QLJ83492.1	759	76.3	750	Ghabrivirales	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Fitzroy Crossing toti-like virus 2	76.3	Aeriandims_virus_subsp1	Totiviridae	Aeriandims_virus_F1156C2F1142	Aeriandims_virus	F1156_NODE_2_length_7200_cov_572.252624_F1156_MapVerif_F1142_detect_F1142_round2_F1142_round3_frame3_1	C2	F1156	F1142	proposed novel species, phylogenetically related to other other mosquito totiviruses, ~75% RdRp aa similarity to closest relative species	_	Cambodian_Culex_toti_like_virus	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	dsRNA	segmented	Chrymotiviricetes	2	9	Culex
F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	G	ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	3485	171	REVERSE	3314	QLJ83492.1	759	76.3	750	Ghabrivirales	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Fitzroy Crossing toti-like virus 2	76.3	Aeriandims_virus_subsp1	Totiviridae	Aeriandims_virus_F1156C2F1156	Aeriandims_virus	F1156_NODE_2_length_7200_cov_572.252624_F1156_MapVerif_F1156_detect_F1156_round2_F1156_round3_frame2_1	C2	F1156	F1156	proposed novel species, phylogenetically related to other other mosquito totiviruses, ~75% RdRp aa similarity to closest relative species	_	Cambodian_Culex_toti_like_virus	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	dsRNA	segmented	Chrymotiviricetes	2	9	Culex
F1156_NODE_25_length_2967_cov_121.096841_1	F1156_NODE_25_length_2967_cov_121.096841	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	296	2878	FORWARD	2582	QGY72620.1	827	87.7	828	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Penoulivirus	Penoulivirus thetaplasmoparae	87.7	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90	Botourmiaviridae	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90_F1156C25F1156	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90	F1156_NODE_25_length_2967_cov_121.096841_F1156_round2_F1156_detect_F1156_round2_F1156_round3_frame2_1	C25	F1156	F1156	phylogenetically related, high RdRp aa similarity ~88%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(+)ssRNA	non-segmented	Lenarviricota	19	9	Culex
F1156_NODE_25_length_2967_cov_121.096841_1	F1156_NODE_25_length_2967_cov_121.096841	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	296	2878	FORWARD	2582	QGY72620.1	827	87.7	828	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Penoulivirus	Penoulivirus thetaplasmoparae	87.7	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90	Botourmiaviridae	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90_F1156C25F1345	Plasmopara_viticola_lesion_associated_ourmia_like_virus_90	F1156_NODE_25_length_2967_cov_121.096841_F1156_round2_F1345_detect_F1345_round2_F1345_round3_frame3_1	C25	F1156	F1345	phylogenetically related, high RdRp aa similarity ~88%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Lenarviricota	19	28	Aedes
F1156_NODE_65_length_2243_cov_7.962523_2	F1156_NODE_65_length_2243_cov_7.962523	N	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2241	52	REVERSE	2189	QZE12031.1	712	58	695	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Sclerotinia sclerotiorum narnavirus 1	58	F1156_NODE_65_length_2243_cov_7.962523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1157_NODE_12_length_1742_cov_6.048014_1	F1157_NODE_12_length_1742_cov_6.048014	N	Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta	1741	86	REVERSE	1655	QKI79987.1	530	92.7	535	Kitrinoviricota	Kitrinoviricota	NA	NA	NA	NA	Erysiphe necator associated virus 5	92.7	Erysiphe_necator_associated_virus_5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1161_NODE_1_length_11153_cov_400.498018_2	F1161_NODE_1_length_11153_cov_400.498018	G	ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	110	10171	FORWARD	10061	ATL63282.1	3349	99.7	3349	Amarillovirales	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	La Tina virus	99.7	Aedes_flavivirus	Flaviviridae	Aedes_flavivirus_F1161C1F1161	Aedes_flavivirus	F1161_NODE_1_length_11153_cov_400.498018_F1161_MapVerif_F1161_detect_F1161_r2_frame2	C1	F1161	F1161	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Aedes_flavivirus	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Kitrinoviricota	14	28	Aedes
F1001_NODE_2217_length_1552_cov_1570.360721_1	F1001_NODE_2217_length_1552_cov_1570.360721	G	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	37	1497	FORWARD	1460	DAZ85671.1	471	100	471	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Aedes partiti-like virus 1	100	Aedes_partiti_like_virus_1	Partitiviridae	Aedes_partiti_like_virus_1_F1001C2217F1001	Aedes_partiti_like_virus_1	F1001_NODE_2217_length_1552_cov_1570.360721_F1001_MapVerif_F1001_detect_F1001_round2_F1001_round3_frame1_1	C2217	F1001	F1001	phylogenetically related, high RdRp aa similarity ~100%	_	Aedes_partiti_like_virus_1	Aedes aegypti	correct	Aedes aegypti	_	cluster26	dsRNA	segmented	Pisuviricota	4	26	Aedes
F1051_NODE_1_length_12044_cov_1008.365835_1	F1051_NODE_1_length_12044_cov_1008.365835	G	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	11905	5396	REVERSE	6509	YP_009182177.1	2159	97.9	2159	Monjiviricetes	Negarnaviricota	Monjiviricetes	Jingchuvirales	Chuviridae	Culicidavirus	Culicidavirus imjinense	97.9	Imjin_River_virus_1	Chuviridae	Imjin_River_virus_1_F1051C1F1051	Imjin_River_virus_1	F1051_NODE_1_length_12044_cov_1008.365835_F1051_MapVerif_F1051_detect_F1051_round2_F1051_round3_frame2_1	C1	F1051	F1051	phylogenetically related, high RdRp aa similarity ~97%	_	Imjin_River_virus_1	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	(-)ssRNA	non-segmented	Monjiviricetes	20	14	Culex
F1052_NODE_9_length_4423_cov_7.729625_1	F1052_NODE_9_length_4423_cov_7.729625	G	Permutotetraviridae.ALL_RdRp_Palmdb_0.4.fasta	2	3310	FORWARD	3308	UHS71819.1	834	35.5	595	Permutotetraviridae	NA	NA	NA	Permutotetraviridae	NA	Permutotetraviridae sp.	35.5	F1052_NODE_9_length_4423_cov_7.729625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1052_NODE_13_length_3984_cov_401.735811_1	F1052_NODE_13_663_chimera	G	Permutotetraviridae.ALL_RdRp_Palmdb_0.4.fasta	3984	790	REVERSE	3194	BBO25553.1	1022	88.4	994	Permutotetraviridae	NA	NA	NA	Permutotetraviridae	NA	Culex permutotetra-like virus	88.4	Culex_permutotetra_like_virus	Permutotetraviridae	Culex_permutotetra_like_virus_F1052C13C663F1052	Culex_permutotetra_like_virus	F1052_NODE_13_663_chimera_F1052_MapVerif_F1052_detect_F1052_round2_F1052_round3_frame1_1	C13C663	F1052	F1052	phylogenetically related, high RdRp similarity: ~87% aa to BBO25553	species demarcation criteria not found, perhaps further literature seqrch needed	NA	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	(+)ssRNA	non-segmented	Pisuviricota-like	5	14	Culex
F1322_NODE_126_length_1586_cov_15.097322_1	F1322_NODE_126_length_1586_cov_15.097322	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	1586	3	REVERSE	1583	QIR30290.1	1090	80.5	528	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Plasmopara viticola lesion associated narnavirus 11	80.5	Plasmopara_viticola_lesion_associated_narnavirus_11	Narnaviridae	Plasmopara_viticola_lesion_associated_narnavirus_11_F1322C126F1322	Plasmopara_viticola_lesion_associated_narnavirus_11	F1322_NODE_126_length_1586_cov_15.097322_F1322_MapVerif_F1322_detect_F1322_round2_F1322_round3_frame1_1	C126	F1322	F1322	phylogenetically related, high RdRp similarity up to ~79% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. )	NA	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15	(+)ssRNA	non-segmented	Lenarviricota	17	15	Culex
F1381_NODE_255_length_2841_cov_543.011127_2	F1381_NODE_255_length_2841_cov_543.011127	N	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	1636	113	REVERSE	1523	APG75843.1	372	100	372	Sobelivirales	Pisuviricota	Pisoniviricetes	Sobelivirales	NA	NA	Hubei sobemo-like virus 41	100	Hubei_sobemo_like_virus_41_subsp2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1016_NODE_1_length_12433_cov_88.195427_4	F1016_NODE_1_length_12433_cov_88.195427	G	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	6039	12212	FORWARD	6173	QOW17628.1	2054	99.2	2054	Monjiviricetes	Negarnaviricota	Monjiviricetes	Mononegavirales	Xinmoviridae	Anphevirus	Aedes albopictus anphevirus	99.2	Aedes_albopictus_anphevirus	Xinmoviridae	Aedes_albopictus_anphevirus_F1016C1F1016	Aedes_albopictus_anphevirus	F1016_NODE_1_length_12433_cov_88.195427_F1016_MapVerif_F1016_detect_F1016_round2_frame3_1	C1	F1016	F1016	phylogenetically related, high RdRp aa similarity ~99%, high genome nt similarity ~97%	_	Aedes_albopictus_anphevirus	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(-)ssRNA	non-segmented	Monjiviricetes	22	28	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1560	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1560_1xcov_F1560_1xCovRound2_ORFcorrected_frame2	C31	F1339	F1560	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Culex gelidus	correct	Culex gelidus	_	cluster8	(-)ssRNA	segmented	Bunyavirales	25	8	Culex
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1156	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1156_1xcov_F1156_1xCovRound2_ORF_corrected_frame2	C31	F1339	F1156	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	(-)ssRNA	segmented	Bunyavirales	25	9	Culex
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1001	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1001_detect_F1001_round2_frame2	C31	F1339	F1001	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1002	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1002_detect_F1002_round2_frame2	C31	F1339	F1002	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1058	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1058_detect_F1058_round2_frame2	C31	F1339	F1058	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1059	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1059_2xCovDetect_F1059_2xCovRound2_correctORF_frame2	C31	F1339	F1059	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1060	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1060_detect_F1060_round2_frame2	C31	F1339	F1060	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1061	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1061_detect_F1061_round2_frame2	C31	F1339	F1061	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1062	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1062_detect_F1062_round2_frame2	C31	F1339	F1062	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1063	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1063_detect_F1063_round2_frame2	C31	F1339	F1063	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1064	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1064_detect_F1064_round2_frame2	C31	F1339	F1064	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1065	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1065_detect_F1065_round2_frame2	C31	F1339	F1065	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1067	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1067_detect_F1067_round2_frame2	C31	F1339	F1067	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1085	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1085_detect_F1085_round2_frame2	C31	F1339	F1085	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes
