nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
OL700073	OL700073_Manglie_virus	OL700073_Manglie_virus	Culex pipiens	Culex	China	China: Yunnan	2018	9209	MAG: Manglie virus isolate XY54847 hypothetical protein gene, partial cds; and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700118	OL700118_XiangYun_hepe-virga-like_virus_5	OL700118_XiangYun_hepe-virga-like_virus_5	Anopheles sinensis	Anopheles	China	China: Yunnan	2018	10728	MAG: XiangYun hepe-virga-like virus 5 isolate XY21699 putative RNA-dependent RNA-polymerase mRNA, partial cds; and hypothetical protein mRNAs, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700120	OL700120_XiangYun_hepe-virga-like_virus_7	OL700120_XiangYun_hepe-virga-like_virus_7	Culex pipiens	Culex	China	China: Yunnan	2018	15901	MAG: XiangYun hepe-virga-like virus 7 isolate XY114755 RNA-dependent RNA polymerase and glycopolyprotein precursor, mRNAs, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL472106	OL472106_Plant_associated_tobamo-like_virus_1	OL472106_Plant_associated_tobamo-like_virus_1	Solanum lycopersicum	Solanum	Slovenia	Slovenia	2020	6551	MAG: Plant associated tobamo-like virus 1 isolate KOR20AT, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL472080	OL472080_Tomato_fruit_blotch_virus	OL472080_Tomato_fruit_blotch_virus	Solanum lycopersicum	Solanum	Slovenia	Slovenia	2019	3542	Tomato fruit blotch virus isolate BOL19ST segment RNA2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL472084	OL472084_Tomato_fruit_blotch_virus	OL472084_Tomato_fruit_blotch_virus	Solanum lycopersicum	Solanum	Slovenia	Slovenia	2019	3596	Tomato fruit blotch virus isolate BOL19SW segment RNA2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL404963	OL404963_Trichosanthes_mottle_mosaic_virus	OL404963_Trichosanthes_mottle_mosaic_virus	Trichosanthes kirilowii	Trichosanthes	China	China	2021	6524	Trichosanthes mottle mosaic virus isolate Anhui, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM650309	OM650309_Halyomorpha_halys_negev-like_virus_1	OM650309_Halyomorpha_halys_negev-like_virus_1	Halyomorpha halys	Halyomorpha	Italy	Italy	2019	8229	Halyomorpha halys negev-like virus 1 isolate CREA/HhNlV1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON475417	ON475417_Tea_plant_necrotic_ring_blotch_virus	ON475417_Tea_plant_necrotic_ring_blotch_virus	Camellia sinensis	Camellia	Iran	Iran	2021	3636	Tea plant necrotic ring blotch virus isolate TPB-Iran segment RNA2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON160032	ON160032_Red_mite_virga-like_virus_1	ON160032_Red_mite_virga-like_virus_1	NA	NA	Czech Republic	Czech Republic: Ustrasice	2019	8877	Red mite virga-like virus 1 isolate RMVLV1 RNA-dependent RNA polymerase, hypothetical protein 1, and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON160033	ON160033_Red_mite_virga-like_virus_2	ON160033_Red_mite_virga-like_virus_2	NA	NA	Czech Republic	Czech Republic: Ustrasice	2019	9392	Red mite virga-like virus 2 isolate RMVLV2 RNA-dependent RNA polymerase, hypothetical protein 1, and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW310332	MW310332_Bactrocera_dorsalis_negev-like_virus_isolate_Bc	MW310332_Bactrocera_dorsalis_negev-like_virus_isolate_Bc	Bactrocera correcta	Bactrocera	China	China	2019	10494	Bactrocera dorsalis negev-like virus isolate Bc isolate YN-Bc-V2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW310340	MW310340_Zeugodacus_tau_negev-like_virus	MW310340_Zeugodacus_tau_negev-like_virus	Zeugodacus tau	Zeugodacus	China	China	2019	10226	Zeugodacus tau negev-like virus isolate CQ-Zt-V1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW310350	MW310350_Zeugodacus_cucurbitae_negev-like_virus	MW310350_Zeugodacus_cucurbitae_negev-like_virus	Zeugodacus cucurbitae	Zeugodacus	China	China	2019	10123	Zeugodacus cucurbitae negev-like virus isolate CQ-Zc-V2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW310362	MW310362_Bactrocera_dorsalis_negev-like_virus_isolate_Bk	MW310362_Bactrocera_dorsalis_negev-like_virus_isolate_Bk	Bactrocera kraussi	Bactrocera	China	China	2019	10290	Bactrocera dorsalis negev-like virus isolate Bk isolate Bk-V2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW310375	MW310375_Bactrocera_oleae_negev-like_virus	MW310375_Bactrocera_oleae_negev-like_virus	Bactrocera oleae	Bactrocera	China	China	2019	10271	Bactrocera oleae negev-like virus isolate Bo-V2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW310386	MW310386_Bactrocera_dorsalis_negev-like_virus_isolate_Bz	MW310386_Bactrocera_dorsalis_negev-like_virus_isolate_Bz	Bactrocera zonata	Bactrocera	China	China	2019	10348	Bactrocera dorsalis negev-like virus isolate Bz isolate Bz-V1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK059677	BK059677_Meterori_virus	BK059677_Meterori_virus	Metorchis orientalis	Metorchis	NA	NA	NA	9375	TPA_asm: Meterori virus isolate MO1 hypothetical protein gene, partial cds; and hypothetical protein and MAG: hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK059704	BK059704_Clonorsi_virus_3	BK059704_Clonorsi_virus_3	Clonorchis sinensis	Clonorchis	NA	NA	NA	9609	TPA_asm: Clonorsi virus 3 isolate CS5-CS6-CS7-CS8 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK059714	BK059714_Fasciogiga_virus	BK059714_Fasciogiga_virus	Fasciola gigantica	Fasciola	NA	NA	NA	9167	TPA_asm: Fasciogiga virus isolate FG2-FG3 hypothetical protein and MAG: hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK059715	BK059715_Fasciohepa_virus_1	BK059715_Fasciohepa_virus_1	Fasciola hepatica	Fasciola	NA	NA	NA	9167	TPA_asm: Fasciohepa virus 1 isolate FH1 hypothetical protein and MAG: hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK059716	BK059716_Fasciohepa_virus_2	BK059716_Fasciohepa_virus_2	Fasciola hepatica	Fasciola	NA	NA	NA	8850	TPA_asm: Fasciohepa virus 2 isolate FH1 hypothetical protein and MAG: hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK059717	BK059717_Fasciohepa_virus_3	BK059717_Fasciohepa_virus_3	Fasciola hepatica	Fasciola	NA	NA	NA	8628	TPA_asm: Fasciohepa virus 3 isolate FH1 hypothetical protein gene, partial cds; and MAG: hypothetical protein 2 gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK428619	OK428619_Opuntia_virus_2	OK428619_Opuntia_virus_2	Opuntia ficus-indica	Opuntia	Mexico	Mexico	2018	6453	Opuntia virus 2 isolate CP, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM817543	OM817543_Hubei_virga-like_virus_2	OM817543_Hubei_virga-like_virus_2	Culex tarsalis	Culex	USA	USA	2020	10319	Hubei virga-like virus 2 isolate HVLV2 RNA-dependent RNA polymerase gene, partial cds; and coat protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL957307	OL957307_Ceratitis_capitata_negev-like_virus_2	OL957307_Ceratitis_capitata_negev-like_virus_2	Ceratitis capitata	Ceratitis	Spain	Spain	2019	10506	Ceratitis capitata negev-like virus 2 isolate CcaNeLV2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK626443	OK626443_Solanum_violifolium_ringspot_virus	OK626443_Solanum_violifolium_ringspot_virus	Oncidium	Oncidium	Brazil	Brazil	2019	8623	Solanum violifolium ringspot virus isolate Lim1 segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK626445	OK626445_Solanum_violifolium_ringspot_virus	OK626445_Solanum_violifolium_ringspot_virus	Oncidium	Oncidium	Brazil	Brazil	2019	8637	Solanum violifolium ringspot virus isolate Lim2 segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW897255	MW897255_Hubei_sediment_virgavirus_1	MW897255_Hubei_sediment_virgavirus_1	NA	NA	China	China: Hubei	2017	6357	MAG: Hubei sediment virgavirus 1 isolate 76-k141_103179, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW897268	MW897268_Yunnan_virgavirus_3	MW897268_Yunnan_virgavirus_3	NA	NA	China	China: Yunnan	2018	6402	MAG: Yunnan virgavirus 3 isolate s13-k141_58446, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452094	OL452094_Ingleside_virus	OL452094_Ingleside_virus	Ixodes holocyclus	Ixodes	Australia	Australia	2019	11204	MAG: Ingleside virus isolate AR3 RNA-dependent RNA polymerase and glycoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452079	OL452079_Ingleside_virus	OL452079_Ingleside_virus	Ixodes holocyclus	Ixodes	Australia	Australia	2019	11148	MAG: Ingleside virus isolate AR7 RNA-dependent RNA polymerase and glycoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452080	OL452080_Ingleside_virus	OL452080_Ingleside_virus	Ixodes holocyclus	Ixodes	Australia	Australia	2019	11156	MAG: Ingleside virus isolate BH1 RNA-dependent RNA polymerase and glycoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452086	OL452086_Ingleside_virus	OL452086_Ingleside_virus	Ixodes holocyclus	Ixodes	Australia	Australia	2019	11158	MAG: Ingleside virus isolate WW11 RNA-dependent RNA polymerase and glycoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452088	OL452088_Ingleside_virus	OL452088_Ingleside_virus	Ixodes holocyclus	Ixodes	Australia	Australia	2019	11149	MAG: Ingleside virus isolate WW14 RNA-dependent RNA polymerase and glycoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452096	OL452096_Ingleside_virus	OL452096_Ingleside_virus	Ixodes holocyclus	Ixodes	Australia	Australia	2019	11150	MAG: Ingleside virus isolate AR4 RNA-dependent RNA polymerase and glycoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452103	OL452103_Ingleside_virus	OL452103_Ingleside_virus	Ixodes holocyclus	Ixodes	Australia	Australia	2020	11199	MAG: Ingleside virus isolate WW18 RNA-dependent RNA polymerase and glycoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209913	MZ209913_Sanya_virga-like_virus_1	MZ209913_Sanya_virga-like_virus_1	NA	NA	China	China	2017	7145	MAG: Sanya virga-like virus 1 isolate QWXCSY134, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209915	MZ209915_Sanya_virga-like_virus_2	MZ209915_Sanya_virga-like_virus_2	NA	NA	China	China	2017	12337	MAG: Sanya virga-like virus 2 isolate QWXCSY136, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209991	MZ209991_Fushun_naranga_aenescens_virga-like_virus_1	MZ209991_Fushun_naranga_aenescens_virga-like_virus_1	NA	NA	China	China	2017	10264	MAG: Fushun naranga aenescens virga-like virus 1 isolate DMLFS196, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ210008	MZ210008_Fushun_virga-like_virus_1	MZ210008_Fushun_virga-like_virus_1	NA	NA	China	China	2017	10447	MAG: Fushun virga-like virus 1 isolate GYSPFS329, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209726	MZ209726_Hangzhou_merodon_fulcratus_virga-like_virus_1	MZ209726_Hangzhou_merodon_fulcratus_virga-like_virus_1	NA	NA	China	China	2016	9725	MAG: Hangzhou merodon fulcratus virga-like virus 1 isolate SYYFY231, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT568541	MT568541_Pyongtaek_Culex_Virga-like_virus	MT568541_Pyongtaek_Culex_Virga-like_virus	NA	NA	South Korea	South Korea: Camp Hamphreys	2018	10394	MAG: Pyongtaek Culex Virga-like virus isolate A18.2454 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK059488	BK059488_Aedes_binegev-like_virus_2	BK059488_Aedes_binegev-like_virus_2	Aedes albopictus	Aedes	NA	NA	NA	4267	TPA_asm: Aedes binegev-like virus 2 isolate Shenzhen segment S hypothetical protein and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK059499	BK059499_Aedes_binegev-like_virus_1	BK059499_Aedes_binegev-like_virus_1	Aedes aegypti	Aedes	NA	NA	NA	4458	TPA_asm: Aedes binegev-like virus 1 isolate Cayenne hypothetical protein, RdRP, and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK181768	OK181768_Paprika_mild_mottle_virus	OK181768_Paprika_mild_mottle_virus	Capsicum	Capsicum	Greece	Greece: Peloponnese	NA	6524	Paprika mild mottle virus isolate DSMZ PV-0606, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ396034	MZ396034_Virgaviridae_sp_	MZ396034_Virgaviridae_sp.	NA	NA	China	China: Yunnan	NA	8828	MAG: Virgaviridae sp. isolate L6-15 RNA-dependent RNA polymerase, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK491507	OK491507_Xiangshan_martelli-like_virus_2	OK491507_Xiangshan_martelli-like_virus_2	Insecta	Insecta	China	China: Beijing	2020	9205	MAG: Xiangshan martelli-like virus 2 isolate Novel_31 RNA dependent RNA polymerase and coat protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK491508	OK491508_Xiangshan_martelli-like_virus_3	OK491508_Xiangshan_martelli-like_virus_3	Insecta	Insecta	China	China: Beijing	2020	9440	MAG: Xiangshan martelli-like virus 3 isolate Novel_32 RNA dependent RNA polymerase and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK491509	OK491509_Xiangshan_martelli-like_virus_4	OK491509_Xiangshan_martelli-like_virus_4	Insecta	Insecta	China	China: Beijing	2020	11269	MAG: Xiangshan martelli-like virus 4 isolate Novel_33 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ822099	MZ822099_Apis_virga-like_virus	MZ822099_Apis_virga-like_virus	NA	NA	China	China: Hebei	2017	10401	MAG: Apis virga-like virus isolate No18-Am018-HB2017, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ822100	MZ822100_Apis_virga-like_virus	MZ822100_Apis_virga-like_virus	NA	NA	China	China: Guangxi	2018	10376	MAG: Apis virga-like virus isolate No18-AM-GX-2018-12, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ396032	MZ396032_Virgaviridae_sp_	MZ396032_Virgaviridae_sp.	NA	NA	China	China: Yunnan	NA	4349	MAG: Virgaviridae sp. isolate L4-4 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW413437	MW413437_Citrus_leprosis_virus_C2	MW413437_Citrus_leprosis_virus_C2	Passiflora edulis	Passiflora	USA	USA: HI	2019	8536	Hibiscus-infecting cilevirus isolate LilikoiO2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG993813	HG993813_Bactrocera_dorsalis_negev-like_virus_3	HG993813_Bactrocera_dorsalis_negev-like_virus_3	NA	NA	NA	NA	NA	10279	Bactrocera dorsalis negev-like virus 3 Methyltransferase, RNA helicase, RdRp gene for 10279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ358858	MZ358858_Alphamesonivirus_1	MZ358858_Alphamesonivirus_1	Aedes notoscriptus	Aedes	Australia	Australia:Queensland	2018	9222	Ngewotan virus isolate 205737, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW774645	MW774645_Rubber_tree_latent_virus_1	MW774645_Rubber_tree_latent_virus_1	Hevea brasiliensis	Hevea	China	China	2019	9422	Rubber tree latent virus 1 isolate Qionghai, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ443591	MZ443591_Leuven_Virga-like_virus_1	MZ443591_Leuven_Virga-like_virus_1	NA	NA	Belgium	Belgium	NA	7907	Leuven Virga-like virus 1 isolate Vvul_virus_23 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW546268	MW546268_Tomato_fruit_blotch_virus	MW546268_Tomato_fruit_blotch_virus	Solanum lycopersicum	Solanum	Brazil	Brazil	2019	3612	Tomato fruit blotch virus segment RNA2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ020961	MZ020961_Hibiscus_latent_Fort_Pierce_virus	MZ020961_Hibiscus_latent_Fort_Pierce_virus	Lantana camara	Lantana	China	China	2017	6463	Hibiscus latent Fort Pierce virus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW961156	MW961156_Peanut_clump_virus	MW961156_Peanut_clump_virus	Arachis hypogaea	Arachis	Niger	Niger	NA	5855	Peanut clump virus isolate DSMZ PV-0291 replicase-RT (ORF1-RT), replicase (ORF1-RT), and hypothetical protein (ORF2) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW854287	MW854287_Tobacco_rattle_virus	MW854287_Tobacco_rattle_virus	Narcissus	Narcissus	Germany	Germany: Braunschweig	NA	6995	Tobacco rattle virus isolate DSMZ PV-1227 segment RNA 1, partial sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW854289	MW854289_Tobacco_rattle_virus	MW854289_Tobacco_rattle_virus	Anemone	Anemone	Netherlands	Netherlands	NA	6618	Tobacco rattle virus isolate DSMZ PV-1229 segment RNA 1, partial sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW459158	MW459158_Insect_virga-like_virus_1	MW459158_Insect_virga-like_virus_1	NA	NA	Italy	Italy	2018	2038	Insect virga-like virus 1 isolate THR-D_DN14008 segment RNA2 RNA dependent RNA polymerase and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT512572	MT512572_Hibiscus_latent_Fort_Pierce_virus	MT512572_Hibiscus_latent_Fort_Pierce_virus	Hibiscus rosa-sinensis	Hibiscus	USA	USA: HI	2019	6408	Hibiscus latent Fort Pierce virus isolate OUGC, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN627457	MN627457_Erysiphe_necator_associated_virga-like_virus_2	MN627457_Erysiphe_necator_associated_virga-like_virus_2	NA	NA	Spain	Spain	2018	8691	Erysiphe necator associated virga-like virus 2 isolate PMS15_DN10545, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN627472	MN627472_Erysiphe_necator_associated_virga-like_virus_1	MN627472_Erysiphe_necator_associated_virga-like_virus_1	NA	NA	Spain	Spain	2018	11749	Erysiphe necator associated virga-like virus 1 isolate PMS3_DN43091, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW256664	MW256664_Bemisia_tabaci_virga-like_virus_1	MW256664_Bemisia_tabaci_virga-like_virus_1	NA	NA	China	China	2016	10187	Bemisia tabaci virga-like virus 1 isolate ZJU-Q2 polyprotein and putative coat protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW256665	MW256665_Bemisia_tabaci_virga-like_virus_2	MW256665_Bemisia_tabaci_virga-like_virus_2	NA	NA	China	China	2017	9495	Bemisia tabaci virga-like virus 2 isolate CAU-Q1 polyprotein and putative coat protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW256676	MW256676_Bemisia_tabaci_nege-like_virus_1	MW256676_Bemisia_tabaci_nege-like_virus_1	Bemisia tabaci	Bemisia	China	China	2019	9220	Bemisia tabaci nege-like virus 1 isolate FY-Q ORF1 and ORF2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW741891	MW741891_Ingleside_virus	MW741891_Ingleside_virus	Ixodes holocyclus	Ixodes	Australia	Australia	2018	11178	Ingleside virus glycoprotein and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW199206	MW199206_ssRNA_positive-strand_virus_sp_	MW199206_ssRNA_positive-strand_virus_sp.	NA	NA	China	China: Yunnan	NA	2535	SsRNA positive-strand virus sp. isolate L2a hypothetical protein 1 and hypothetical protein 2 genes, complete cds; and hypothetical protein 3 gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW199207	MW199207_ssRNA_positive-strand_virus_sp_	MW199207_ssRNA_positive-strand_virus_sp.	Nycteribiidae	Nycteribiidae	China	China: Yunnan	NA	3290	SsRNA positive-strand virus sp. isolate L8a hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW199208	MW199208_ssRNA_positive-strand_virus_sp_	MW199208_ssRNA_positive-strand_virus_sp.	Nycteribiidae	Nycteribiidae	China	China: Yunnan	NA	4442	SsRNA positive-strand virus sp. isolate L6b hypothetical protein gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW199209	MW199209_ssRNA_positive-strand_virus_sp_	MW199209_ssRNA_positive-strand_virus_sp.	Nycteribiidae	Nycteribiidae	China	China: Yunnan	NA	5728	SsRNA positive-strand virus sp. isolate L6c hypothetical protein gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW199210	MW199210_ssRNA_positive-strand_virus_sp_	MW199210_ssRNA_positive-strand_virus_sp.	NA	NA	China	China: Yunnan	NA	6580	SsRNA positive-strand virus sp. isolate L5b RNA-dependent RNA polymerase, hypothetical protein 1, and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW199211	MW199211_ssRNA_positive-strand_virus_sp_	MW199211_ssRNA_positive-strand_virus_sp.	NA	NA	China	China: Yunnan	NA	8237	SsRNA positive-strand virus sp. isolate L4b RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW199212	MW199212_ssRNA_positive-strand_virus_sp_	MW199212_ssRNA_positive-strand_virus_sp.	NA	NA	China	China: Yunnan	NA	8732	SsRNA positive-strand virus sp. isolate L4c RNA-dependent RNA polymerase, hypothetical protein 1, and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW199213	MW199213_ssRNA_positive-strand_virus_sp_	MW199213_ssRNA_positive-strand_virus_sp.	NA	NA	China	China: Yunnan	NA	8828	SsRNA positive-strand virus sp. isolate L4d RNA-dependent RNA polymerase, hypothetical protein 1, and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW199214	MW199214_ssRNA_positive-strand_virus_sp_	MW199214_ssRNA_positive-strand_virus_sp.	NA	NA	China	China: Yunnan	NA	8852	SsRNA positive-strand virus sp. isolate L4e hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW199215	MW199215_ssRNA_positive-strand_virus_sp_	MW199215_ssRNA_positive-strand_virus_sp.	Nycteribiidae	Nycteribiidae	China	China: Yunnan	NA	10715	SsRNA positive-strand virus sp. isolate L6d RNA-dependent RNA polymerase, hypothetical protein 1, and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW452292	MW452292_Riboviria_sp_	MW452292_Riboviria_sp.	Culicidae	Culicidae	China	China	2018	10060	Riboviria sp. strain LY882 polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW452293	MW452293_Riboviria_sp_	MW452293_Riboviria_sp.	Culicidae	Culicidae	China	China	2018	14632	Riboviria sp. strain YC066 RNA-dependent RNA polymerase, hypothetical protein, putative glycoprotein, and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW452294	MW452294_Riboviria_sp_	MW452294_Riboviria_sp.	Culicidae	Culicidae	China	China	2018	14485	Riboviria sp. strain YX683 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW452316	MW452316_Riboviria_sp_	MW452316_Riboviria_sp.	Culicidae	Culicidae	China	China	2018	10753	Riboviria sp. strain YC505 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW452317	MW452317_Riboviria_sp_	MW452317_Riboviria_sp.	Culicidae	Culicidae	China	China	2018	10008	Riboviria sp. strain YC512 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW699048	MW699048_Yongsan_negev-like_virus_1	MW699048_Yongsan_negev-like_virus_1	Culicidae	Culicidae	Belgium	Belgium	2019	8388	Yongsan negev-like virus 1 isolate YnLV1_Leuven_Pool5 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW699049	MW699049_Yongsan_negev-like_virus_1	MW699049_Yongsan_negev-like_virus_1	Culex modestus	Culex	Belgium	Belgium	2019	8312	Yongsan negev-like virus 1 isolate YnLV1_Leuven_Pool6 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW594436	MW594436_Tomato_fruit_blotch_virus	MW594436_Tomato_fruit_blotch_virus	Solanum lycopersicum	Solanum	Spain	Spain	2016	3586	Tomato fruit blotch virus isolate TFBV/Spanish segment RNA2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434966	MW434966_Culex_pipiens-associated_Tunisia_virus	MW434966_Culex_pipiens-associated_Tunisia_virus	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10901	MAG: Culex pipiens-associated Tunisia virus isolate CMS002_028d_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW434969	MW434969_Culex_pipiens-associated_Tunisia_virus	MW434969_Culex_pipiens-associated_Tunisia_virus	Culex erythrothorax	Culex	USA	USA: West Valley, California	2017	10922	MAG: Culex pipiens-associated Tunisia virus isolate CMS002_047h_WVAL genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
